"","scenario","stk_pos","stk_pos2","stock","fhist","catch_rule","TAC","options","uncertainty","perfect_knowledge","HCRmult","w","b_w","b_z","upper_constraint","lower_constraint"
"1",1,1,1,"her-nis","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"2",2,1,1,"her-nis","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"3",3,1,1,"her-nis","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"4",4,1,1,"her-nis","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"5",5,1,1,"her-nis","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"6",6,1,1,"her-nis","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"7",7,2,2,"pol-nsea","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"8",8,2,2,"pol-nsea","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"9",9,2,2,"pol-nsea","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"10",10,2,2,"pol-nsea","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"11",11,2,2,"pol-nsea","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"12",12,2,2,"pol-nsea","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"13",13,3,3,"lin-comb","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"14",14,3,3,"lin-comb","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"15",15,3,3,"lin-comb","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"16",16,3,3,"lin-comb","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"17",17,3,3,"lin-comb","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"18",18,3,3,"lin-comb","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"19",19,4,4,"smn-con","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"20",20,4,4,"smn-con","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"21",21,4,4,"smn-con","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"22",22,4,4,"smn-con","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"23",23,4,4,"smn-con","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"24",24,4,4,"smn-con","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"25",25,5,5,"mut-comb","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"26",26,5,5,"mut-comb","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"27",27,5,5,"mut-comb","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"28",28,5,5,"mut-comb","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"29",29,5,5,"mut-comb","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"30",30,5,5,"mut-comb","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"31",31,6,6,"tur-nsea","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"32",32,6,6,"tur-nsea","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"33",33,6,6,"tur-nsea","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"34",34,6,6,"tur-nsea","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"35",35,6,6,"tur-nsea","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"36",36,6,6,"tur-nsea","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"37",37,7,7,"lem-nsea","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"38",38,7,7,"lem-nsea","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"39",39,7,7,"lem-nsea","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"40",40,7,7,"lem-nsea","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"41",41,7,7,"lem-nsea","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"42",42,7,7,"lem-nsea","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"43",43,8,8,"meg-4a6a","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"44",44,8,8,"meg-4a6a","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"45",45,8,8,"meg-4a6a","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"46",46,8,8,"meg-4a6a","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"47",47,8,8,"meg-4a6a","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"48",48,8,8,"meg-4a6a","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"49",49,9,9,"san-ns4","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"50",50,9,9,"san-ns4","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"51",51,9,9,"san-ns4","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"52",52,9,9,"san-ns4","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"53",53,9,9,"san-ns4","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"54",54,9,9,"san-ns4","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"55",55,10,10,"ple-celt","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"56",56,10,10,"ple-celt","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"57",57,10,10,"ple-celt","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"58",58,10,10,"ple-celt","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"59",59,10,10,"ple-celt","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"60",60,10,10,"ple-celt","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"61",61,11,11,"whg-7e-k","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"62",62,11,11,"whg-7e-k","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"63",63,11,11,"whg-7e-k","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"64",64,11,11,"whg-7e-k","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"65",65,11,11,"whg-7e-k","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"66",66,11,11,"whg-7e-k","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"67",67,12,12,"had-iris","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"68",68,12,12,"had-iris","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"69",69,12,12,"had-iris","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"70",70,12,12,"had-iris","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"71",71,12,12,"had-iris","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"72",72,12,12,"had-iris","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
