"linf","k","t0","a","b","ato95","a50","asym","bg","m1","m2","a1","sl","sr","s","v","l50","minfbar","maxfbar","alpha","beta","spr0","fmsy","msy","bmsy","lopt","r","rc","m","mk","fmsym","bmsyb0","lmax","stock"
33,0.606,-0.1,0.0048,3.198,1,1.87016908988851,1,3.198,161.433871691447,-1.61,1.87016908988851,2,5000,0.75,1000,23,1,3,12.9898556715546,90.9090909090909,83.981617540061,0.638121988781699,402.748806327196,198.704233899258,23.7566392165411,2.16245614632389,1.19603522855038,0.760002657816974,1.25412979837784,0.839631259467745,0.198704233899258,NA,"her-nis"
85.6,0.19,-0.1,0.0076,3.069,1,4.10540548344188,1,3.069,199.699872289746,-1.61,4.10540548344188,2,5000,0.75,1000,47.1,1,6,1.17596948093898,90.9090909090909,927.667859235621,0.115575439205227,48.285207558737,284.131464596098,58.7387600452005,0.302056027276443,0.110839766474214,0.213654634470536,1.12449807616071,0.540945154274975,0.284131464596098,NA,"pol-nsea"
119,0.14,-0.1,0.0036,3.108,1,7.2,1,3.108,236.470856901723,-1.61,7.2,2,5000,0.75,1000,74,2,15,1.02812886867427,90.9090909090909,1061.06260036816,0.0938351015734251,40.8554507770903,263.178339956024,85.7144214689392,0.190565886397643,0.0766054439218853,0.141019977439348,1.0072855531382,0.665402897357454,0.263178339956024,NA,"lin-comb"
50.2,0.11,0.08,0.0178,2.972,1,14.8389115414285,1,2.972,53.6127399385598,-1.61,14.8389115414285,2,5000,0.75,1000,40.3,9,23,52.7588117063266,90.9090909090909,20.6772869901138,0.106294967677782,51.5943413769398,227.850734175697,49.6979300806167,0.12413719342754,0.0598989450602505,0.117335879343702,1.06668981221547,0.905903362827504,0.227850734175697,NA,"smn-con"
47.5,0.21,-0.1,0.0057,3.243,1,1.99395096229648,1,3.243,94.5192044582895,-1.61,1.99395096229648,2,5000,0.75,1000,16.9,1,5,5.78130366812338,90.9090909090909,188.696037007031,0.20415151596175,83.7241737041613,231.431686636238,31.2234094769304,1.03698326703943,0.396097532481476,0.348804185858058,1.6609723136098,0.585289753503207,0.231431686636238,NA,"mut-comb"
66.7,0.32,0.29,0.0149,3.079,1,2.2,1,3.079,234.829765384513,-1.61,2.2,2,5000,0.75,1000,34.2,1,3,1.67539654005927,90.9090909090909,651.134859613889,0.226836768158702,75.0288024323219,293.594541142317,66.0329487685921,0.588956033211413,0.209934802371791,0.399469442113875,1.24834200660586,0.567845107145989,0.293594541142317,NA,"tur-nsea"
37,0.42,-0.1,0.0123,2.971,1,3.01507814202423,1,2.971,131.923370368407,-1.61,3.01507814202423,2,5000,0.75,1000,27,1,4,11.4937926408355,90.9090909090909,94.9128912447293,0.299915151520469,143.993147765649,249.784849485943,21.6837262046368,0.546319915874845,0.231771541744277,0.46351864951261,1.10361583217288,0.647040096090698,0.249784849485943,NA,"lem-nsea"
54,0.12,-0.1,0.0022,3.3433,1,3,1,3.3433,64.9666129397141,-1.61,3,2,5000,0.75,1000,23,1,5,17.5109295364933,90.9090909090909,62.2987539659504,0.0771489710696846,25.4346575203394,323.657013856923,35.8805977479422,0.246549625799885,0.0728990354472997,0.184423795238456,1.53686496032047,0.418324386882574,0.323657013856923,NA,"meg-4a6a"
24,1,-0.1,0.0049,2.783,1,0.593147180559945,1,2.783,168.409331958108,-1.61,0.593147180559945,2,5000,0.75,1000,12,1,2,83.8901748257957,90.9090909090909,13.0040149895318,1.46577155700959,588.433711689976,211.169518330728,16.0111080978384,2.84949675708032,1.69548238307214,1.21310210786715,1.21310210786715,1.20828374421563,0.211169518330728,NA,"san-ns4"
48,0.23,-0.1,0.011,2.958,1,2.71883984682675,1,2.958,105.093821117793,-1.61,2.71883984682675,2,5000,0.75,1000,22.9,1,5,7.57463532506252,90.9090909090909,144.021334901702,0.211167934688198,90.7375508205734,234.027358414925,29.3060297697213,0.638591100165093,0.27225091522838,0.322782706325759,1.40340307098156,0.654210806681456,0.234027358414925,NA,"ple-celt"
38,0.38,-1.01,0.0103,2.395,1,2.50316070192721,1,2.395,124.032055431903,-1.61,2.50316070192721,2,5000,0.75,1000,28,1,4,32.9787396689148,90.9090909090909,33.0791625714358,0.394139559945525,209.16886192722,211.601361686383,20.296076847581,0.85216012536134,0.408198087193438,0.438168856754749,1.15307593882829,0.899515229961064,0.211601361686383,NA,"whg-7e-k"
79.9,0.2,-0.36,0.0113,2.96,1,2,1,2.96,190.352823430981,-1.61,2,2,5000,0.75,1000,NA,1,5,0.831187106479352,90.9090909090909,1312.47114206311,0.150079727796778,43.9610213555632,310.4458802744,52.548369025537,0.416078944121257,0.126706653410155,0.259068373147407,1.29534186573703,0.579305478215916,0.3104458802744,NA,"had-iris"
105.555,0.18,-0.38,0.0198,2.895,1,6.15500654109887,1,2.895,255.825573667737,-1.61,6.15500654109887,2,5000,0.75,1000,73,1,9,0.353652376408558,90.9090909090909,3084.69322894869,0.104441005301179,58.0172800794104,251.17351058281,72.078904471791,0.238105464826717,0.100122957537763,0.177447852740024,0.985821404111245,0.588572945169384,0.25117351058281,133.1,"ang-78ab"
106,0.18,-0.1,0.0297,2.841,1,4.65987002412082,1,2.841,257.380070873178,-1.61,4.65987002412082,2,5000,0.75,1000,61,1,8,0.407466315910884,90.9090909090909,2677.29883013859,0.121579702021077,58.2868877499985,249.22451513849,70.6450119061367,0.321002160141459,0.134928933788338,0.19791195283229,1.09951084906828,0.61431207302625,0.24922451513849,NA,"ang-ivvi"
70,0.2,-0.1,0.00028,3.229,1,2.50197537391071,1,3.229,157.3378235648,-1.61,2.50197537391071,2,5000,0.75,1000,28.4,1,4,29.8050631459924,90.9090909090909,36.6014688700894,0.149199089842369,53.5139154969397,278.869922649544,49.3338818678526,0.474293780740473,0.168876740990542,0.275805794329135,1.37902897164567,0.540957053513972,0.278869922649544,NA,"nep-2829"
75.14,0.15,-0.96,0.0019,3.1541,1,7.9,1,3.1541,130.679582633737,-1.61,7.9,2,5000,0.75,1000,57,3,13,2.73697141951228,90.9090909090909,398.582565799494,0.115108433123031,60.2297657022342,234.229683579778,52.3720755456012,0.219132285504798,0.101504027980246,0.1558067586802,1.03871172453467,0.738789729650277,0.234229683579778,70,"syc27.67"
66.2,0.23,-0.71,0.0022,3.119,1,8.99689425606823,1,3.119,166.964947734224,-1.61,8.99689425606823,2,5000,0.75,1000,59.1,4,11,6.95867333282657,90.9090909090909,156.769694269579,0.151796943979153,122.335915551744,212.042765031714,43.7928788417464,0.24061399098359,0.126623650881303,0.219787526713132,0.955597942231009,0.690653133274845,0.212042765031714,68,"syc27.8c"
123.5,0.15,-0.1,0.001,3.27,1,7.1542732586721,1,3.27,267.272110492904,-1.61,7.1542732586721,2,5000,0.75,1000,81.9,2,11,1.39426035259542,90.9090909090909,782.428539173735,0.0873166075045579,42.9685363880348,265.687794265405,91.9604764512126,0.194646088017239,0.0781543581561178,0.148456692397955,0.989711282653035,0.588162150821033,0.265687794265405,124,"sdv.27.nea"
139.5,0.09,-1.84,0.0024,3.2653,1,6.13,1,3.2653,191.113485622803,-1.61,6.13,2,5000,0.75,1000,71.8,2,15,0.0742227910250102,90.9090909090909,14697.764336853,0.0598199043325794,21.9437126646019,287.849828188518,102.811433784242,0.157629465240013,0.0540383616451147,0.0979115603774451,1.08790622641606,0.610958543628313,0.287849828188518,104,"rjc.27.afg"
118,0.14,-0.88,0.0045,3.0686,1,6.68824686726363,1,3.0686,233.614659304638,-1.61,6.68824686726363,2,5000,0.75,1000,77.1,2,13,0.310315395202331,90.9090909090909,3515.48491558982,0.0998113004297916,45.7596076464712,250.003298802538,83.9617336612139,0.220676700897209,0.0932481385426275,0.142679371164387,1.01913836545991,0.699549623854136,0.250003298802538,94,"rjc.27.347d"
