order,name,common,area,stock,stock_short,sex,a,b,lmax,linf,l50,a50,t0,k,h_Myers,h_Myers_source,source a,source b,Lmax,source Linf,source L50,source A50,source t0,source K,Comment
1,Clupea harengus,Herring,Celtic Seas,her-nis,her,F,0.0048,3.198,,33,23,,,0.606,0.74,species,Silva et al 2013,Silva et al 2013,,Thorpe etal 2015,Thorpe etal 2015,,,Thorpe etal 2015,
2,Pollachius pollachius,Pollack,North Sea,pol-nsea,pol,C,0.0076,3.069,,85.6,47.1,,,0.19,0.79,family,Silva et al 2013,Silva et al 2013,,Pauley 1978,Alonso-Fernandez et al 2013,,,Pauley 1978,L50 from Galicia
3,Molva molva,Ling,Widely,lin-comb,lin,C,0.0036,3.108,,119,74,7.2,,0.14,,,Silva et al 2013,Silva et al 2013,,Magnussen 2007,Magnussen 2007,,,Magnussen 2007,
4,Sebastes norvegicus,Rose fish,Northern,smn-con,smn,C,0.0178,2.972,,50.2,40.3,,0.08,0.11,0.39,family (genus only),Silva et al 2013,Silva et al 2013,,Nedreaas 1990,Ni & Templeman 1985,,Nedreaas 1990,Nedreaas 1990,
5,Mullus surmuletus,Red mullet,Celtic Seas,mut-comb,mut,F,0.0057,3.243,,47.5,16.9,,,0.21,,,Mahe et al 2013,Mahe et al 2013,,Mahe et al 2013,Mahe et al 2013,,,Mahe et al 2013,S North Sea and Channel data
6,Scopthalmus maximus,Turbot,North Sea,tur-nsea,tur,F,0.0149,3.079,,66.7,34.2,2.2,0.29,0.32,,,Silva et al 2013,Silva et al 2013,,Van der Hammen et al 2013,Van der Hammen et al 2013,Van der Hammen et al 2013,Van der Hammen et al 2013,Van der Hammen et al 2013,
7,Microstomus kitt,Lemon sole,North Sea,lem-nsea,lem,C,0.0123,2.971,,37,27,,,0.42,0.8,family,Thorpe etal 2015,Thorpe etal 2015,,Thorpe etal 2015,Thorpe etal 2015,,,Thorpe etal 2015,
8,Lepidorhombus whiffiagonis,Megrim,North Sea,meg-4a6a,meg,C,0.0022,3.3433,,54,23,3,,0.12,,,Silva et al 2013,Silva et al 2013,,Jennings et al 1999,Jennings et al 1999,Jennings et al 1999,,Jennings et al 1999,
9,Ammodytes spp.,Sandeels,North Sea,san-ns4,san,C,0.0049,2.783,,24,12,,,1,,,Thorpe etal 2015,Thorpe etal 2015,,Thorpe etal 2015,Thorpe etal 2015,,,Thorpe etal 2015,
10,Pleuronectes platessa,Plaice,Celtic Seas,ple-celt,ple,F,0.011,2.958,,48,22.9,,,0.23,0.86,species,Silva et al 2013,Silva et al 2013,,van Walraven et al 2010,van Walraven et al 2010,,,van Walraven et al 2010,North Sea data
