"","name","name","common","area","stock","stock_short","sex","a","b","lmax","linf","l50","a50","t0","k","h_Myers","h_Myers_source","source.a","source.b","Lmax","source.Linf","source.L50","source.A50","source.t0","source.K","Comment","s","minfbar","maxfbar","M","M_mat","MK","amax"
"1",1,"Clupea harengus","Herring","Celtic Seas","her-nis","her","F",0.0048,3.198,NA,33,23,NA,NA,0.606,0.74,"species","Silva et al 2013","Silva et al 2013","","Thorpe etal 2015","Thorpe etal 2015","","","Thorpe etal 2015","",0.75,1,3,0.809689403843853,0.760002657816974,1.25412979837784,5
"2",2,"Pollachius pollachius","Pollack","North Sea","pol-nsea","pol","C",0.0076,3.069,NA,85.6,47.1,NA,NA,0.19,0.79,"family","Silva et al 2013","Silva et al 2013","","Pauley 1978","Alonso-Fernandez et al 2013","","","Pauley 1978","L50 from Galicia",0.75,1,6,0.335159930611857,0.213654634470536,1.12449807616071,16
"3",3,"Molva molva","Ling","Widely","lin-comb","lin","C",0.0036,3.108,NA,119,74,7.2,NA,0.14,NA,"","Silva et al 2013","Silva et al 2013","","Magnussen 2007","Magnussen 2007","","","Magnussen 2007","",0.75,2,15,0.26422937122554,0.141019977439348,1.0072855531382,22
"4",4,"Sebastes norvegicus","Rose fish","Northern","smn-con","smn","C",0.0178,2.972,NA,50.2,40.3,NA,0.08,0.11,0.39,"family (genus only)","Silva et al 2013","Silva et al 2013","","Nedreaas 1990","Ni & Templeman 1985","","Nedreaas 1990","Nedreaas 1990","",0.75,9,23,0.287727177564357,0.117335879343702,1.06668981221547,28
"5",5,"Mullus surmuletus","Red mullet","Celtic Seas","mut-comb","mut","F",0.0057,3.243,NA,47.5,16.9,NA,NA,0.21,NA,"","Mahe et al 2013","Mahe et al 2013","","Mahe et al 2013","Mahe et al 2013","","","Mahe et al 2013","S North Sea and Channel data",0.75,1,5,0.385975421053656,0.348804185858058,1.6609723136098,15
"6",6,"Scopthalmus maximus","Turbot","North Sea","tur-nsea","tur","F",0.0149,3.079,NA,66.7,34.2,2.2,0.29,0.32,NA,"","Silva et al 2013","Silva et al 2013","","Van der Hammen et al 2013","Van der Hammen et al 2013","Van der Hammen et al 2013","Van der Hammen et al 2013","Van der Hammen et al 2013","",0.75,1,3,0.543586394408804,0.399469442113875,1.24834200660586,10
"7",7,"Microstomus kitt","Lemon sole","North Sea","lem-nsea","lem","C",0.0123,2.971,NA,37,27,NA,NA,0.42,0.8,"family","Thorpe etal 2015","Thorpe etal 2015","","Thorpe etal 2015","Thorpe etal 2015","","","Thorpe etal 2015","",0.75,1,4,0.604366916000156,0.46351864951261,1.10361583217288,8
"8",8,"Lepidorhombus whiffiagonis","Megrim","North Sea","meg-4a6a","meg","C",0.0022,3.3433,NA,54,23,3,NA,0.12,NA,"","Silva et al 2013","Silva et al 2013","","Jennings et al 1999","Jennings et al 1999","Jennings et al 1999","","Jennings et al 1999","",0.75,1,5,0.281556168610146,0.184423795238456,1.53686496032047,25
"9",9,"Ammodytes spp.","Sandeels","North Sea","san-ns4","san","C",0.0049,2.783,NA,24,12,NA,NA,1,NA,"","Thorpe etal 2015","Thorpe etal 2015","","Thorpe etal 2015","Thorpe etal 2015","","","Thorpe etal 2015","",0.75,1,2,1.21700877925034,1.21310210786715,1.21310210786715,3
"10",10,"Pleuronectes platessa","Plaice","Celtic Seas","ple-celt","ple","F",0.011,2.958,NA,48,22.9,NA,NA,0.23,0.86,"species","Silva et al 2013","Silva et al 2013","","van Walraven et al 2010","van Walraven et al 2010","","","van Walraven et al 2010","North Sea data",0.75,1,5,0.416787828251864,0.322782706325759,1.40340307098156,13
"11",11,"Merlangius merlangus","Whiting","Celtic Seas","whg-7e-k","whg","F",0.0103,2.395,NA,38,28,NA,-1.01,0.38,0.81,"species","Hehir 2003","Hehir 2003","","Hehir 2003","Hehir 2003","","Hehir 2003","Hehir 2003","",0.75,1,4,0.494661790996359,0.438168856754749,1.15307593882829,7
"12",12,"Melanogrammus aeglefinus","Haddock","Celtic Seas","had-iris","had","C",0.0113,2.96,NA,79.9,NA,2,-0.36,0.2,0.74,"species","Silva et al 2013","Silva et al 2013","","WGNSDS2007, VIIa","","WGNSDS2007, VIIa","WGNSDS2007, VIIa","WGNSDS2007, VIIa","Irish Sea data",0.75,1,5,0.324057431858405,0.259068373147407,1.29534186573703,15
"13",13,"Lophius piscatorius","White anglerfish","Celtic Seas","ang-78ab","ang","C",0.0198,2.895,133.1,105.555,73,NA,-0.38,0.18,0.64,"family","Crozier1989","Crozier1989","Crozier1989","Crozier1989","Alfonso-Diaz and Hislop 2006","","Crozier1989","Crozier1989","L50 Scotland data",0.75,1,9,0.286117473290204,0.177447852740024,0.985821404111245,17
"14",14,"Lophius piscatorius","White anglerfish","North Sea","ang-ivvi","ang2","C",0.0297,2.841,NA,106,61,NA,NA,0.18,0.64,"family","Thorpe etal 2015","Thorpe etal 2015","","Thorpe etal 2015","Thorpe etal 2015","","","Thorpe etal 2015","",0.75,1,8,0.312190427207966,0.19791195283229,1.09951084906828,17
"15",15,"Nephrops","Shellfish","Biscay-Iberia","nep-2829","nep","M",0.00028,3.229,NA,70,28.4,NA,NA,0.2,NA,"","WKLIFE_V_2015","WKLIFE_V_2015","","WKLIFE_V_2015","WKLIFE_V_2015","","","WKLIFE_V_2015","NB values in mm",0.75,1,4,0.359685535079331,0.275805794329135,1.37902897164567,15
"16",16,"Scyliorhinus canicula","Lesserspotted dogfish","Celtic Seas","syc27.67","syc","F",0.0019,3.1541,70,75.14,57,7.9,-0.96,0.15,NA,"","Silva et al 2013","Silva et al 2013","Ivory et al 2005","Ivory et al 2005","Ivory et al 2005","Ivory et al 2005","Ivory et al 2005","Ivory et al 2005","",0.75,3,13,0.239476386741578,0.1558067586802,1.03871172453467,20
"17",17,"Scyliorhinus canicula","Lesserspotted dogfish","Biscay-Iberia","syc27.8c","syc2","F",0.0022,3.119,68,66.2,59.1,NA,-0.71,0.23,NA,"","Silva et al 2013","Silva et al 2013","Rodriguez-Cabello 2005","Rodriguez-Cabello 2005","Rodriguez-Cabello 1998","","Rodriguez-Cabello 2005","Rodriguez-Cabello 2005","",0.75,4,11,0.334388695914517,0.219787526713132,0.955597942231009,13
