"stock","stk_pos"
"her-nis",1
"pol-nsea",2
"lin-comb",3
"smn-con",4
"mut-comb",5
"tur-nsea",6
"lem-nsea",7
"meg-4a6a",8
"san-ns4",9
"ple-celt",10
"whg-7e-k",11
"had-iris",12
"ang-78ab",13
"ang-ivvi",14
"nep-2829",15
"her-nis",16
"pol-nsea",17
"lin-comb",18
"smn-con",19
"mut-comb",20
"tur-nsea",21
"lem-nsea",22
"meg-4a6a",23
"san-ns4",24
"ple-celt",25
"whg-7e-k",26
"had-iris",27
"ang-78ab",28
"ang-ivvi",29
"nep-2829",30
"syc27.67",31
"syc27.8c",32
"sdv.27.nea",33
"rjc.27.afg",34
"rjc.27.347d",35
"sardina_pilchardus",36
"zeus_faber",37
"chelidonichtys_lucerna",38
"spondyliosoma_cantharus",39
"anarchias_lupus",40
"scophthalmus_rhombus",41
"arg-comb-ex5.",42
"ane-pore",43
"ang-78ab",44
"syc27.67",45
"syc27.8c",46
"sdv.27.nea",47
"rjc.27.afg",48
"rjc.27.347d",49
"sardina_pilchardus",50
"zeus_faber",51
"chelidonichtys_lucerna",52
"spondyliosoma_cantharus",53
"anarchias_lupus",54
"scophthalmus_rhombus",55
"arg-comb-ex5.",56
"ane-pore",57
"ang-78ab",58
