"","ssb_below_blim_total","ssb_below_blim_iter","collapse_total","collapse_iter","fmaxed_total","fmaxed_iter","yield","rel_yield","scenario"
"1",0.23352,1,0.15714,0.984,0.01808,0.862,30.6442475648344,0.0744848621861704,1
"2",0.3966,1,0.31832,0.92,0.03318,0.906,55.9850335667851,0.13607896558359,2
"3",0.41194,1,0.33892,0.96,0.0367,0.952,52.6691899247636,0.128019372794297,3
"4",0.36882,0.986,0.30292,0.85,0.03324,0.854,35.4776312932781,0.0862330351554797,4
"5",0.4176,1,0.3654,1,0.041,1,6.01128483010046,0.0145450679965912,5
"6",0.11534,0.992,0.0682,0.518,0.00774,0.422,84.7503140314797,0.205996751837804,6
"7",0.69464,1,0.00448,0.008,0.00018,0.008,42.791195984954,0.695125878851926,7
"8",0.9995,1,0.88986,1,0.04058,1,5.28543969496869,0.0858598557136802,8
"9",0.98756,1,0.93526,0.986,0.04412,0.984,3.6246834019707,0.058881533393944,9
"10",0.96688,1,0.93872,0.964,0.0444,0.96,2.87835083635456,0.0467576591098003,10
"11",0.9434,1,0.9242,0.94,0.0436,0.94,2.61789659471314,0.0422461967216913,11
"12",0.06468,1,0,0,0,0,12.1943457343031,0.198092273433119,12
"13",0.94114,1,0,0,0,0,36.4255962414521,0.657141421130515,13
"14",0.99988,1,0.85122,1,0.07426,1,7.24976996572961,0.13079056020303,14
"15",0.9999,1,0.94018,1,0.08126,1,5.22191886736699,0.0942068089368631,15
"16",0.49308,0.986,0.4247,0.654,0.04158,0.592,2.49775231317179,0.0450610744661433,16
"17",0.0634,0.98,0.042,0.12,0.0056,0.08,0.434458239328877,0.00777110487236494,17
"18",0.05862,0.996,0,0,0,0,10.5544399876233,0.19040895437178,18
"19",0.98924,1,0.00032,0.01,0,0,44.907862236628,0.64045756491761,19
"20",0.96082,1,0.5613,1,0.07148,0.994,18.7500966969881,0.267406210726464,20
"21",0.99742,1,0.8714,1,0.2078,1,15.1106885981317,0.21550246085627,21
"22",0.0056,0.536,6e-05,0.002,2e-05,0.002,0.0108107117984347,0.000154177950332366,22
"23",1,1,0.8406,1,0.2064,1,16.45118682689,0.232031481894761,23
"24",0.03948,0.996,0,0,0,0,10.0449489113336,0.143256953216252,24
"25",0.70562,1,0.39648,0.842,0.01662,0.746,30.8629397357167,0.311172996527999,25
"26",0.79412,1,0.60636,0.972,0.0241,0.918,10.5733211836124,0.106604622376594,26
"27",0.59248,1,0.4498,0.71,0.01794,0.664,23.1126676425158,0.233031529389738,27
"28",0.66578,1,0.54698,0.896,0.02306,0.85,20.4100860256252,0.205782977330515,28
"29",0.683,1,0.542,0.86,0.02,0.82,15.1274202492388,0.151732822795594,29
"30",0.08564,1,0.01898,0.052,0.00084,0.044,21.8982175915102,0.22078693879853,30
"31",0.50804,1,0.27534,0.95,0.02856,0.932,16.7684222700355,0.194358377617656,31
"32",0.79948,1,0.63004,0.974,0.06474,0.974,7.64933935064083,0.0886614830003503,32
"33",0.35438,1,0.24456,0.374,0.02422,0.374,33.2107186575959,0.384936715801891,33
"34",0.60108,1,0.50546,0.838,0.05834,0.836,17.5616323068989,0.203552266785769,34
"35",0.8026,1,0.6614,1,0.0666,1,3.10413209976466,0.0358029936464457,35
